epoch,accuracy,loss,val_accuracy,val_loss
0,0.2005208283662796,2.186361789703369,0.3203125,1.965415120124817
1,0.3446180522441864,1.8119986057281494,0.3671875,1.7260410785675049
2,0.4722222089767456,1.5002245903015137,0.5625,1.4563802480697632
3,0.5338541865348816,1.3624926805496216,0.59375,1.3054614067077637
4,0.5954861044883728,1.2106060981750488,0.578125,1.3069615364074707
5,0.6163194179534912,1.113856315612793,0.6015625,1.204200029373169
6,0.6510416865348816,1.041088581085205,0.6484375,1.1284422874450684
7,0.6588541865348816,1.0115940570831299,0.6015625,1.266782522201538
8,0.7239583134651184,0.8929408192634583,0.609375,1.1221555471420288
9,0.7256944179534912,0.8597637414932251,0.671875,1.0828255414962769
10,0.7326388955116272,0.8172976970672607,0.6328125,1.1263595819473267
11,0.7578125,0.7828436493873596,0.6796875,1.0257091522216797
12,0.7612847089767456,0.7337536215782166,0.6484375,0.9695388078689575
13,0.7647569179534912,0.6929811239242554,0.7421875,0.919861912727356
14,0.7899305820465088,0.6719356179237366,0.7578125,0.9504053592681885
15,0.7821180820465088,0.6730490326881409,0.7109375,0.9766852855682373
16,0.7994791865348816,0.6258392930030823,0.7265625,0.8958983421325684
17,0.8116319179534912,0.6063588261604309,0.734375,0.9421678185462952
18,0.8289930820465088,0.5816032886505127,0.7265625,0.8309417963027954
19,0.8125,0.6122724413871765,0.7734375,0.8049979209899902
20,0.8194444179534912,0.5645886659622192,0.6875,0.9391577839851379
21,0.8168402910232544,0.5808976888656616,0.75,0.8901525139808655
22,0.8177083134651184,0.564807116985321,0.7578125,0.8845112919807434
23,0.8098958134651184,0.5917908549308777,0.78125,0.917880654335022
24,0.8368055820465088,0.5238686800003052,0.6953125,0.9025442004203796
25,0.8168402910232544,0.5546049475669861,0.765625,0.8046994209289551
26,0.8324652910232544,0.5282643437385559,0.734375,0.8749643564224243
27,0.828125,0.5510489344596863,0.75,0.8253021836280823
28,0.8368055820465088,0.5061080455780029,0.71875,0.8293572068214417
29,0.8463541865348816,0.49098554253578186,0.7421875,0.8148239850997925
